ts_utc,ts_nyt_epoch,open,high,low,close,volume
1759509480,673.43,673.58,673.38,673.48,102980
1759509540,673.49,673.62,673.48,673.62,106952
1759509600,673.62,673.95,673.55,673.93,120538
1759509660,673.94,673.95,673.82,673.85,96675
1759509720,673.87,673.99,673.68,673.69,97594
1759509780,673.71,673.83,673.49,673.49,108245
1759509840,673.49,673.69,673.41,673.67,143793
1759509900,673.66,673.69,673.33,673.39,121109
1759509960,673.38,673.52,673.36,673.43,121651
1759510020,673.43,673.56,673.4,673.49,134657
1759510080,673.51,673.64,673.47,673.55,119813
1759510140,673.57,673.86,673.53,673.85,111638
1759510200,673.84,674.36,673.71,674.3,116204
1759510260,674.3,674.52,674.26,674.44,109440
1759510320,674.43,674.49,674.37,674.45,116274
1759510380,674.44,674.64,674.44,674.56,122308
1759510440,674.54,675.1,674.51,675.04,122935
1759510500,675.03,675.36,675.0,675.24,143079
1759510560,675.23,675.59,675.22,675.46,105141
1759510620,675.42,675.52,675.21,675.23,98346
1759510680,675.23,675.35,675.03,675.1,70078
1759510740,675.1,675.22,675.01,675.07,50000
1759510800,675.08,675.14,674.88,674.89,89619
1759510860,674.9,675.12,674.85,675.1,68715
1759510920,675.08,675.16,674.94,674.95,55856
1759510980,674.95,675.05,674.89,674.89,89574
1759511040,674.88,674.93,674.72,674.73,76365
1759511100,674.74,674.93,674.71,674.92,63409
1759511160,674.9,675.21,674.83,675.17,84231
1759511220,675.18,675.47,675.09,675.45,77647
1759511280,675.44,675.51,675.31,675.33,53499
1759511340,675.35,675.41,675.1,675.13,71470
1759511400,675.12,675.12,675.01,675.08,62318
1759511460,675.07,675.36,674.96,675.26,98974
1759511520,675.24,675.25,674.75,674.82,73803
1759511580,674.83,675.15,674.76,675.11,79514
1759511640,675.11,675.27,675.1,675.23,56737
1759511700,675.23,675.36,675.18,675.35,53784
1759511760,675.35,675.44,675.23,675.25,64086
1759511820,675.24,675.6,675.19,675.57,75661
1759511880,675.55,675.59,675.49,675.49,50000
1759511940,675.47,675.68,675.39,675.63,50243
1759512000,675.65,675.85,675.59,675.78,77309
1759512060,675.78,675.8,675.7,675.76,74892
1759512120,675.79,675.99,675.69,675.99,64947
1759512180,675.98,675.99,675.87,675.87,50000
1759512240,675.88,675.98,675.85,675.91,80673
1759512300,675.9,676.0,675.82,675.93,106793
1759512360,675.95,676.28,675.85,676.25,66710
1759512420,676.24,676.59,676.14,676.53,69274
1759512480,676.53,676.83,676.41,676.71,77403
1759512540,676.73,676.76,676.43,676.52,86180
1759512600,676.53,676.96,676.38,676.89,66520
1759512660,676.9,676.93,676.85,676.93,58373
1759512720,676.94,677.01,676.9,676.93,95728
1759512780,676.92,676.95,676.59,676.76,80643
1759512840,676.74,676.75,676.47,676.5,74870
1759512900,676.52,676.78,676.52,676.7,89456
1759512960,676.72,677.17,676.58,677.13,71151
1759513020,677.13,677.36,677.1,677.26,52923
1759513080,677.26,677.33,677.25,677.3,77991
1759513140,677.3,677.37,677.21,677.29,52618
1759513200,677.28,677.33,677.21,677.26,82703
1759513260,677.24,677.48,677.17,677.45,69190
1759513320,677.45,677.73,677.45,677.66,61370
1759513380,677.69,677.7,677.6,677.66,57147
1759513440,677.64,677.69,677.43,677.61,67185
1759513500,677.61,678.02,677.57,677.95,68453
1759513560,677.97,678.14,677.86,678.07,71666
1759513620,678.07,678.27,677.99,678.26,73953
1759513680,678.26,678.39,678.21,678.34,65317
1759513740,678.32,678.43,678.15,678.22,81008
1759513800,678.21,678.68,678.18,678.66,69912
1759513860,678.66,678.68,678.51,678.54,50428
1759513920,678.54,679.26,678.53,679.16,53749
1759513980,679.17,679.51,679.16,679.5,85308
1759514040,679.5,679.6,679.42,679.44,52740
1759514100,679.46,679.47,679.18,679.27,82849
1759514160,679.28,679.43,679.27,679.42,78021
1759514220,679.45,679.55,679.23,679.24,71313
1759514280,679.23,679.29,679.23,679.25,50000
1759514340,679.26,679.47,679.22,679.42,50000
1759514400,679.41,679.51,679.41,679.49,50000
1759514460,679.48,679.56,679.48,679.53,50000
1759514520,679.52,679.56,679.5,679.53,50000
1759514580,679.53,679.63,679.48,679.62,50000
1759514640,679.62,679.73,679.61,679.7,50000
1759514700,679.72,679.91,679.65,679.85,50000
1759514760,679.85,679.93,679.84,679.92,50000
1759514820,679.92,679.96,679.75,679.83,50000
1759514880,679.83,679.99,679.81,679.92,50000
1759514940,679.93,679.96,679.88,679.9,50000
1759515000,679.91,680.17,679.88,680.1,50000
1759515060,680.1,680.11,680.04,680.07,50000
1759515120,680.08,680.31,680.07,680.27,50000
1759515180,680.27,680.54,680.26,680.53,50000
1759515240,680.53,680.64,680.49,680.64,50000
1759515300,680.63,680.74,680.58,680.62,50000
1759515360,680.63,680.65,680.43,680.5,50000
1759515420,680.48,680.59,680.47,680.58,50000
1759515480,680.57,680.64,680.55,680.61,50000
1759515540,680.61,680.86,680.58,680.84,50000
1759515600,680.85,680.89,680.76,680.82,50000
1759515660,680.82,680.83,680.77,680.77,50000
1759515720,680.78,680.94,680.75,680.89,50000
1759515780,680.9,681.12,680.86,681.09,50000
1759515840,681.08,681.44,681.06,681.41,50000
1759515900,681.4,681.49,681.39,681.47,50000
1759515960,681.47,681.63,681.45,681.59,50000
1759516020,681.59,681.77,681.58,681.74,50000
1759516080,681.74,681.87,681.73,681.85,50000
1759516140,681.85,681.92,681.8,681.91,50000
1759516200,681.9,681.99,681.9,681.93,50000
1759516260,681.93,681.94,681.92,681.94,50000
1759516320,681.94,681.96,681.84,681.87,50000
1759516380,681.88,681.99,681.87,681.94,50000
1759516440,681.93,682.1,681.92,682.08,50000
1759516500,682.08,682.09,681.96,682.01,50000
1759516560,682.0,682.05,681.99,682.02,50000
1759516620,682.02,682.03,681.87,681.96,50000
1759516680,681.96,682.05,681.95,682.01,50000
1759516740,682.02,682.09,682.01,682.06,50000
1759516800,682.05,682.25,682.04,682.21,50000
1759516860,682.21,682.38,682.19,682.33,50000
1759516920,682.34,682.44,682.31,682.43,50000
1759516980,682.42,682.46,682.42,682.46,50000
1759517040,682.47,682.7,682.45,682.67,57478
1759517100,682.68,682.71,682.63,682.68,50000
1759517160,682.69,682.81,682.67,682.77,50000
1759517220,682.76,682.78,682.68,682.72,50000
1759517280,682.72,682.75,682.67,682.7,50000
1759517340,682.7,682.89,682.66,682.84,50000
1759517400,682.85,683.07,682.84,683.01,50000
1759517460,683.0,683.06,682.99,683.06,50000
1759517520,683.06,683.2,683.06,683.19,50000
1759517580,683.19,683.29,683.16,683.28,50000
1759517640,683.29,683.35,683.23,683.26,50000
1759517700,683.28,683.37,683.13,683.15,50000
1759517760,683.15,683.38,683.12,683.37,50000
1759517820,683.37,683.63,683.36,683.59,50000
1759517880,683.58,683.6,683.43,683.46,50000
1759517940,683.45,683.67,683.43,683.63,50000
1759518000,683.63,683.91,683.61,683.87,50000
1759518060,683.87,683.88,683.75,683.76,50000
1759518120,683.77,683.86,683.7,683.85,50000
1759518180,683.83,683.92,683.83,683.92,50000
1759518240,683.92,684.13,683.9,684.1,50000
1759518300,684.1,684.14,684.04,684.08,50000
1759518360,684.08,684.33,684.04,684.33,50000
1759518420,684.32,684.54,684.3,684.54,52704
1759518480,684.55,684.58,684.51,684.55,50000
1759518540,684.56,684.58,684.51,684.54,50000
1759518600,684.55,684.76,684.53,684.75,50000
1759518660,684.74,685.0,684.74,684.98,50000
1759518720,684.99,685.04,684.98,685.03,50000
1759518780,685.03,685.27,684.96,685.24,50000
1759518840,685.24,685.38,685.18,685.36,50000
1759518900,685.35,685.38,685.32,685.33,50000
1759518960,685.32,685.57,685.3,685.52,50000
1759519020,685.51,685.52,685.49,685.5,50000
1759519080,685.5,685.76,685.45,685.74,50000
1759519140,685.74,685.95,685.74,685.9,50000
1759519200,685.9,686.14,685.84,686.11,50000
1759519260,686.1,686.11,686.03,686.07,50000
1759519320,686.07,686.1,685.98,686.03,50000
1759519380,686.04,686.13,686.03,686.11,50000
1759519440,686.11,686.31,686.05,686.26,50000
1759519500,686.27,686.29,686.24,686.27,50000
1759519560,686.26,686.32,686.19,686.23,50000
1759519620,686.24,686.46,686.22,686.41,50000
1759519680,686.41,686.54,686.41,686.53,56806
1759519740,686.53,686.58,686.52,686.55,50000
1759519800,686.55,686.6,686.54,686.57,50000
1759519860,686.57,686.59,686.53,686.59,50109
1759519920,686.59,686.65,686.45,686.46,50000
1759519980,686.46,686.66,686.42,686.64,50000
1759520040,686.65,686.68,686.59,686.61,50000
1759520100,686.6,686.78,686.57,686.76,50000
1759520160,686.76,686.87,686.71,686.84,50000
1759520220,686.84,687.17,686.83,687.11,50000
1759520280,687.1,687.19,687.09,687.18,50000
1759520340,687.17,687.25,687.12,687.21,50000
1759520400,687.2,687.36,687.18,687.36,51078
1759520460,687.35,687.41,687.2,687.26,50000
1759520520,687.27,687.46,687.21,687.45,50000
1759520580,687.45,687.55,687.43,687.55,50000
1759520640,687.56,687.72,687.54,687.71,50000
1759520700,687.71,687.77,687.63,687.69,50000
1759520760,687.68,687.71,687.62,687.64,50000
1759520820,687.66,687.71,687.63,687.65,50000
1759520880,687.67,687.69,687.66,687.69,53956
1759520940,687.68,687.68,687.61,687.63,57299
1759521000,687.63,687.84,687.56,687.81,50000
1759521060,687.81,688.1,687.79,688.1,50000
1759521120,688.11,688.16,688.1,688.14,50000
1759521180,688.15,688.23,688.08,688.2,50000
1759521240,688.21,688.22,687.96,687.97,50000
1759521300,687.97,688.31,687.96,688.29,53303
1759521360,688.28,688.29,688.22,688.23,50000
1759521420,688.24,688.25,688.09,688.13,50000
1759521480,688.14,688.15,688.12,688.12,50000
1759521540,688.11,688.24,688.11,688.24,50000
1759521600,688.24,688.38,688.23,688.36,50000
1759521660,688.37,688.63,688.36,688.63,50000
1759521720,688.63,688.66,688.55,688.65,50000
1759521780,688.64,688.84,688.62,688.81,50000
1759521840,688.82,688.86,688.62,688.64,50000
1759521900,688.64,688.65,688.54,688.59,50000
1759521960,688.59,688.61,688.5,688.57,50000
1759522020,688.57,688.76,688.53,688.74,50000
1759522080,688.76,689.0,688.74,688.98,50000
1759522140,688.99,689.03,688.8,688.85,50000
1759522200,688.85,689.03,688.85,689.03,50000
1759522260,689.03,689.04,688.96,689.01,50000
1759522320,689.0,689.03,688.94,689.02,50000
1759522380,689.02,689.15,689.02,689.1,50000
1759522440,689.11,689.13,689.08,689.09,50000
1759522500,689.1,689.12,689.0,689.01,50000
1759522560,689.01,689.05,688.93,688.95,50000
1759522620,688.95,688.97,688.84,688.86,50000
1759522680,688.87,689.07,688.87,689.05,50000
1759522740,689.04,689.31,689.01,689.25,50000
1759522800,689.25,689.49,689.22,689.48,50000
1759522860,689.47,689.7,689.44,689.64,50000
1759522920,689.63,689.72,689.52,689.59,50000
1759522980,689.59,689.7,689.57,689.65,50000
1759523040,689.65,689.77,689.62,689.75,50000
1759523100,689.75,689.96,689.74,689.87,50000
1759523160,689.87,690.07,689.87,690.07,50000
1759523220,690.07,690.08,689.83,689.84,50000
1759523280,689.85,690.03,689.81,690.02,50000
1759523340,690.0,690.21,689.98,690.2,50000
1759523400,690.2,690.45,690.17,690.43,50000
1759523460,690.41,690.49,690.4,690.49,50000
1759523520,690.49,690.6,690.45,690.59,50000
1759523580,690.6,690.71,690.59,690.68,50000
1759523640,690.68,690.69,690.63,690.65,50000
1759523700,690.66,690.67,690.56,690.64,50000
1759523760,690.63,690.69,690.61,690.68,50000
1759523820,690.66,690.67,690.56,690.58,50000
1759523880,690.58,690.75,690.57,690.73,50000
1759523940,690.74,690.75,690.7,690.71,50000
1759524000,690.7,690.78,690.69,690.76,50000
1759524060,690.76,690.85,690.68,690.82,50000
1759524120,690.83,690.99,690.8,690.97,50000
1759524180,690.97,691.05,690.96,691.01,50000
1759524240,691.01,691.07,690.94,691.06,50000
1759524300,691.06,691.1,690.97,690.97,50000
1759524360,690.96,691.03,690.9,690.99,50000
1759524420,691.0,691.06,690.98,690.99,50000
1759524480,690.99,691.28,690.98,691.24,50000
1759524540,691.24,691.27,691.23,691.23,50000
1759524600,691.21,691.46,691.15,691.42,50000
1759524660,691.42,691.64,691.42,691.61,50000
1759524720,691.6,691.68,691.44,691.52,50000
1759524780,691.51,691.76,691.47,691.74,50000
1759524840,691.73,691.87,691.67,691.87,50000
1759524900,691.88,691.92,691.86,691.92,50000
1759524960,691.92,691.98,691.9,691.98,50000
1759525020,691.99,692.01,691.92,691.93,50000
1759525080,691.93,691.96,691.78,691.8,69720
1759525140,691.8,691.86,691.79,691.82,50000
1759525200,691.84,691.88,691.59,691.67,50000
1759525260,691.69,691.72,691.59,691.67,58200
1759525320,691.67,692.03,691.66,691.96,50000
1759525380,691.95,692.12,691.9,692.09,50000
1759525440,692.1,692.22,692.06,692.22,56623
1759525500,692.2,692.46,692.2,692.42,50000
1759525560,692.43,692.44,692.36,692.36,50000
1759525620,692.36,692.59,692.33,692.58,63909
1759525680,692.59,692.68,692.55,692.65,50000
1759525740,692.63,692.63,692.38,692.46,50000
1759525800,692.45,692.71,692.44,692.68,50000
1759525860,692.68,692.78,692.52,692.57,59150
1759525920,692.58,692.59,692.38,692.4,50000
1759525980,692.4,692.61,692.4,692.56,52790
1759526040,692.56,692.57,692.43,692.52,55717
1759526100,692.52,692.56,692.38,692.4,55526
1759526160,692.39,692.42,692.33,692.42,72577
1759526220,692.42,692.65,692.39,692.6,50000
1759526280,692.61,692.77,692.55,692.72,58918
1759526340,692.72,692.87,692.68,692.83,78552
1759526400,692.83,692.91,692.81,692.86,50000
1759526460,692.86,692.91,692.83,692.83,50000
1759526520,692.82,693.18,692.79,693.13,53371
1759526580,693.12,693.38,693.08,693.31,55236
1759526640,693.3,693.59,693.3,693.57,52082
1759526700,693.57,693.6,693.47,693.49,50000
1759526760,693.48,693.69,693.37,693.63,51475
1759526820,693.65,693.87,693.59,693.84,52465
1759526880,693.85,694.02,693.77,694.02,50000
1759526940,694.01,694.05,693.99,694.01,51426
1759527000,694.02,694.03,693.89,693.93,59842
1759527060,693.92,693.94,693.85,693.89,55001
1759527120,693.88,694.1,693.86,694.08,50000
1759527180,694.08,694.1,693.87,693.9,50000
1759527240,693.92,694.15,693.8,694.13,50000
1759527300,694.12,694.26,694.09,694.25,50000
1759527360,694.24,694.25,694.18,694.22,50000
1759527420,694.21,694.21,693.99,694.02,50000
1759527480,694.03,694.07,693.93,694.0,50631
1759527540,694.01,694.11,693.96,694.1,50000
1759527600,694.1,694.43,694.06,694.36,68727
1759527660,694.36,694.39,694.26,694.28,79199
1759527720,694.28,694.29,694.16,694.18,51640
1759527780,694.17,694.23,694.03,694.06,71492
1759527840,694.05,694.09,694.02,694.03,69444
1759527900,694.03,694.12,693.75,693.75,50000
1759527960,693.75,693.8,693.75,693.75,53823
1759528020,693.74,693.81,693.69,693.79,50000
1759528080,693.78,693.91,693.76,693.9,51848
1759528140,693.9,693.95,693.84,693.85,64359
1759528200,693.85,693.9,693.74,693.78,54599
1759528260,693.79,693.81,693.68,693.74,63120
1759528320,693.75,693.77,693.74,693.75,70154
1759528380,693.75,693.99,693.73,693.97,50000
1759528440,693.97,694.02,693.86,693.97,50000
1759528500,693.98,694.01,693.91,693.93,59514
1759528560,693.93,693.99,693.89,693.99,62372
1759528620,693.98,694.02,693.91,693.95,50000
1759528680,693.93,694.33,693.9,694.28,50542
1759528740,694.27,694.29,694.14,694.2,67163
1759528800,694.19,694.29,694.18,694.27,56044
1759528860,694.26,694.28,694.21,694.25,50000
1759528920,694.26,694.31,694.16,694.3,50000
1759528980,694.3,694.5,694.25,694.44,65756
1759529040,694.44,694.83,694.39,694.79,50000
1759529100,694.78,694.82,694.55,694.55,53077
1759529160,694.53,694.64,694.51,694.62,50000
1759529220,694.62,694.69,694.57,694.69,57029
1759529280,694.69,694.7,694.51,694.52,50000
1759529340,694.53,694.56,694.45,694.46,60215
1759529400,694.47,694.55,694.4,694.42,50000
1759529460,694.43,694.57,694.41,694.53,50739
1759529520,694.53,694.88,694.48,694.88,62786
1759529580,694.89,695.07,694.87,694.96,64877
1759529640,694.96,695.06,694.93,694.97,68691
1759529700,694.96,695.27,694.96,695.23,51294
1759529760,695.24,695.39,695.14,695.36,50000
1759529820,695.38,695.54,695.33,695.52,60814
1759529880,695.51,695.66,695.48,695.65,76341
1759529940,695.64,695.83,695.61,695.82,50000
1759530000,695.81,695.88,695.81,695.87,50000
1759530060,695.88,695.89,695.8,695.87,50000
1759530120,695.85,695.93,695.78,695.88,59509
1759530180,695.88,696.09,695.88,696.08,50000
1759530240,696.08,696.12,695.82,695.83,57866
1759530300,695.83,695.93,695.68,695.72,50000
1759530360,695.72,695.8,695.71,695.76,68260
1759530420,695.75,695.77,695.6,695.61,55988
1759530480,695.59,695.96,695.54,695.92,129847
1759530540,695.92,696.19,695.81,696.08,119529
1759530600,696.09,696.18,696.0,696.06,151246
1759530660,696.08,696.51,695.98,696.41,141873
1759530720,696.41,696.62,696.4,696.59,143667
1759530780,696.64,696.7,696.42,696.52,102217
1759530840,696.53,696.62,696.45,696.6,119603
1759530900,696.63,696.76,696.57,696.68,100252
1759530960,696.68,696.74,696.58,696.59,114628
1759531020,696.58,696.91,696.44,696.75,144618
1759531080,696.75,696.77,696.47,696.56,140231
1759531140,696.57,696.69,696.49,696.66,134524
1759531200,696.64,696.64,696.36,696.37,104862
1759531260,696.38,696.69,696.21,696.51,101642
1759531320,696.54,697.17,696.49,697.12,85356
1759531380,697.11,697.47,697.07,697.43,138119
1759531440,697.43,697.76,697.4,697.66,154491
1759531500,697.65,697.77,697.53,697.56,121435
1759531560,697.58,697.89,697.49,697.81,104780
1759531620,697.8,698.25,697.64,698.23,150073
1759531680,698.23,698.59,698.19,698.44,97464
1759531740,698.42,698.67,698.36,698.64,127982
1759531800,698.65,699.07,698.52,699.05,140831
1759531860,699.04,699.17,698.77,698.82,140422
1759531920,698.83,698.95,698.83,698.95,94157
1759531980,698.92,699.08,698.8,698.97,143848
1759532040,698.96,698.98,698.85,698.98,112026
1759532100,698.97,699.03,698.91,698.92,179500
1759532160,698.92,699.21,698.88,699.14,142100
1759532220,699.16,699.17,698.77,698.84,167110
1759532280,698.85,699.36,698.77,699.34,111261
1759532340,699.34,699.41,699.26,699.4,105697
1759532400,699.4,699.43,699.29,699.3,134402
1759532460,699.29,699.39,699.15,699.17,119831
1759532520,699.17,699.6,699.09,699.59,119915
1759532580,699.61,699.75,699.61,699.7,101331
1759532640,699.7,699.71,699.37,699.43,82033
1759532700,699.43,699.44,699.19,699.22,115021
1759532760,699.23,699.55,699.23,699.43,87347
1759532820,699.44,699.64,699.42,699.59,84929
1759532880,699.61,699.9,699.6,699.87,87938
1759532940,699.86,700.08,699.78,699.98,129830
1759533000,699.97,700.14,699.91,700.12,93821
1759533060,700.12,700.25,700.1,700.24,120607
1759533120,700.22,700.25,700.07,700.08,50000
1759533180,700.08,700.14,699.93,699.94,86524
1759533240,699.95,700.27,699.87,700.12,102599
1759533300,700.11,700.13,699.62,699.71,53027
1759533360,699.7,699.72,699.52,699.57,145676
1759533420,699.56,700.02,699.51,699.94,146574
1759533480,699.94,700.02,699.84,699.86,111957
1759533540,699.85,699.98,699.76,699.78,148530
1759533600,699.76,700.13,699.74,700.06,132374
1759533660,700.04,700.19,700.03,700.13,127777
1759533720,700.14,700.4,700.06,700.33,106986
1759533780,700.35,700.36,699.67,699.8,102446
1759533840,699.78,699.86,699.65,699.72,120399
1759533900,699.71,699.91,699.59,699.78,112744
1759533960,699.8,699.87,699.64,699.73,134897
1759534020,699.75,699.95,699.68,699.91,81694
1759534080,699.93,700.1,699.91,700.07,54811
1759534140,700.09,700.36,700.08,700.25,74972
1759534200,700.27,700.33,700.24,700.27,53223
1759534260,700.29,700.64,700.29,700.51,60650
1759534320,700.52,700.74,700.45,700.67,53259
1759534380,700.64,700.67,700.36,700.38,81599
1759534440,700.35,700.52,700.3,700.49,50000
1759534500,700.5,700.53,700.4,700.48,88425
1759534560,700.47,700.5,700.33,700.37,69881
1759534620,700.35,700.72,700.32,700.68,71731
1759534680,700.68,700.72,700.29,700.35,85269
1759534740,700.33,700.7,700.31,700.66,75478
1759534800,700.64,700.94,700.63,700.82,68731
1759534860,700.81,701.18,700.78,701.08,68221
1759534920,701.08,701.27,701.06,701.15,76663
1759534980,701.14,701.33,701.09,701.3,50000
1759535040,701.32,701.48,701.24,701.47,50949
1759535100,701.46,701.88,701.45,701.87,62394
1759535160,701.86,701.97,701.78,701.96,68257
1759535220,701.95,702.33,701.9,702.31,65708
1759535280,702.27,702.41,702.24,702.39,66360
1759535340,702.37,702.72,702.37,702.67,66234
1759535400,702.68,702.73,702.4,702.52,61481
1759535460,702.51,702.78,702.51,702.72,63907
1759535520,702.71,703.11,702.63,703.1,50000
1759535580,703.09,703.14,702.76,702.8,66451
1759535640,702.82,702.94,702.74,702.94,77570
1759535700,702.95,703.07,702.9,703.06,59732
1759535760,703.05,703.3,703.02,703.27,58533
1759535820,703.27,703.47,703.21,703.46,83823
1759535880,703.48,703.5,703.41,703.43,73898
1759535940,703.42,703.46,703.11,703.17,55964
1759536000,703.17,703.25,703.05,703.15,61040
1759536060,703.15,703.29,702.89,702.99,63528
1759536120,703.0,703.08,702.86,702.88,83935
1759536180,702.87,703.0,702.72,702.89,84220
1759536240,702.89,703.01,702.77,702.82,80918
1759536300,702.83,703.1,702.71,703.02,76825
1759536360,703.03,703.07,702.92,702.94,86166
1759536420,702.95,703.26,702.9,703.17,50000
1759536480,703.16,703.58,703.16,703.48,81935
1759536540,703.47,703.79,703.39,703.78,76953
1759536600,703.8,703.98,703.79,703.88,90313
1759536660,703.87,704.5,703.79,704.42,53931
1759536720,704.41,704.43,704.28,704.29,67210
1759536780,704.28,704.33,704.25,704.3,55506
1759536840,704.3,704.4,704.27,704.35,75187
1759536900,704.36,704.57,704.23,704.55,75593
1759536960,704.55,704.64,704.39,704.41,64499
1759537020,704.41,704.45,704.4,704.44,72933
1759537080,704.47,704.82,704.43,704.75,96542
1759537140,704.74,704.81,704.7,704.77,55979
1759537200,704.78,704.9,704.6,704.87,76288
1759537260,704.88,704.88,704.83,704.87,95103
1759537320,704.89,705.36,704.86,705.34,64615
1759537380,705.36,705.51,705.31,705.34,61834
1759537440,705.33,705.43,705.31,705.42,72723
1759537500,705.44,705.62,705.26,705.29,69722
1759537560,705.26,705.31,705.16,705.18,87352
1759537620,705.18,705.26,705.04,705.11,81923
